Date;omm_id;nombre;summary;temperatura;humidity;pressure;windSpeed;uvIndex;temperatureMin;temperatureMax
2021-07-01;Rio Cuarto Aero;87453;Clear throughout the day.;9.635;0.45;1016.2;15.69;3;0.36;18.91
2021-07-02;Rio Cuarto Aero;87453;Clear throughout the day.;11.865;0.41;1022.9;12.56;3;5.18;18.55
2021-07-03;Rio Cuarto Aero;87453;Overcast throughout the day.;11.55;0.35;1023.1;15.77;2;2.03;21.07
2021-07-04;Rio Cuarto Aero;87453;Mostly cloudy throughout the day.;12.105;0.47;1018.8;13.25;3;4.44;19.77
2021-07-05;Rio Cuarto Aero;87453;Clear throughout the day.;12.95;0.61;1020.1;12.01;3;3.99;21.91
2021-07-06;Rio Cuarto Aero;87453;Clear throughout the day.;15.995000000000001;0.64;1013.1;22.73;3;8.51;23.48
2021-07-07;Rio Cuarto Aero;87453;Clear throughout the day.;15.365;0.75;1016.3;11.93;3;9.52;21.21
2021-07-08;Rio Cuarto Aero;87453;Clear throughout the day.;15.55;0.72;1013.8;16.95;3;7.53;23.57
2021-07-09;Rio Cuarto Aero;87453;Clear throughout the day.;17.32;0.66;1009.7;11.27;3;8.76;25.88
2021-07-10;Rio Cuarto Aero;87453;Clear throughout the day.;12.265;0.38;1021.1;16.84;3;7.5;17.03
2021-07-11;Rio Cuarto Aero;87453;Partly cloudy throughout the day.;13.875;0.36;1014.3;18.51;3;7.13;20.62
2021-07-12;Rio Cuarto Aero;87453;Overcast throughout the day.;14.395;0.61;1012.1;11.06;3;7.43;21.36
2021-07-13;Rio Cuarto Aero;87453;Partly cloudy throughout the day.;12.47;0.6;1017.9;12.29;3;7.41;17.53
2021-07-14;Rio Cuarto Aero;87453;Possible light rain in the morning and afternoon.;10.675;0.66;1018.0;8.62;3;6.55;14.8
2021-07-15;Rio Cuarto Aero;87453;Clear throughout the day.;11.544999999999998;0.49;1021.5;13.88;4;4.51;18.58
2021-07-16;Rio Cuarto Aero;87453;Clear throughout the day.;12.735000000000001;0.33;1014.7;14.27;3;2.69;22.78
2021-07-17;Rio Cuarto Aero;87453;Clear throughout the day.;9.14;0.29;1025.8;24.72;3;4.16;14.12
2021-07-18;Rio Cuarto Aero;87453;Clear throughout the day.;8.605;0.28;1030.1;14.31;3;1.67;15.54
2021-07-19;Rio Cuarto Aero;87453;Clear throughout the day.;9.885000000000002;0.25;1024.1;14.13;3;-0.4;20.17
2021-07-20;Rio Cuarto Aero;87453;Clear throughout the day.;11.600000000000001;0.31;1018.5;8.69;3;1.03;22.17
2021-07-21;Rio Cuarto Aero;87453;Partly cloudy throughout the day.;13.13;0.38;1017.6;10.67;4;3.14;23.12
2021-07-22;Rio Cuarto Aero;87453;Partly cloudy throughout the day.;15.975000000000001;0.34;1016.7;17.82;3;6.69;25.26
2021-07-23;Rio Cuarto Aero;87453;Mostly cloudy throughout the day.;14.9;0.41;1013.4;13.5;3;5.88;23.92
